371,663,965
951,91,30
670,523,849
38,293,391
425,36,909
355,570,818
963,889,414
490,366,317
425,827,673
827,399,219
772,574,776
4,743,315
518,886,759
756,861,806
990,430,599
784,504,527
161,208,282
810,460,640
311,984,326
146,884,229
630,840,651
491,360,160
202,704,124
497,633,900
310,961,998
76,811,29
141,291,433
57,364,577
262,840,386
453,204,568
714,391,503
533,156,81
731,918,851
311,964,269
553,477,396
398,770,810
743,907,31
374,156,500
432,13,126
987,752,927
733,982,666
724,72,988
759,963,567
376,36,135
498,340,307
117,993,331
11,221,475
359,986,869
661,212,561
63,150,299
649,570,15
407,497,468
97,994,694
659,711,368
791,461,817
913,785,370
599,851,210
734,458,748
494,506,154
355,738,405
532,996,84
442,826,795
55,492,198
937,692,224
124,249,109
654,255,850
601,712,597
793,408,862
416,362,983
105,395,601
924,529,409
336,513,601
770,671,295
739,149,698
648,832,720
6,93,997
606,42,962
419,511,553
624,35,888
228,6,497
186,983,279
26,807,63
537,945,727
242,94,418
136,254,382
444,696,150
776,394,6
917,806,774
214,615,115
394,200,552
739,818,551
483,103,134
500,546,582
882,564,590
343,554,614
966,821,296
499,730,9
498,914,789
543,694,237
131,394,564
124,313,732
486,422,98
650,543,16
49,779,427
507,838,910
927,158,475
328,923,298
878,733,257
149,798,583
194,254,199
417,837,378
378,800,322
983,290,697
7,108,185
633,670,31
648,349,139
879,897,767
355,894,979
947,623,759
283,431,763
693,198,723
384,712,962
164,271,183
659,862,261
343,83,686
170,72,204
183,124,832
480,810,73
871,854,138
220,128,182
537,309,929
937,837,363
530,709,730
505,81,614
554,635,354
652,487,955
395,909,782
150,75,333
517,853,910
391,930,646
325,588,485
564,442,581
166,54,581
655,191,774
17,296,25
984,655,882
611,507,28
787,929,847
975,42,362
492,737,979
661,858,815
855,616,905
338,694,587
435,580,508
921,969,502
158,632,764
698,25,524
842,235,901
772,892,851
694,306,752
703,829,357
68,696,771
809,109,169
474,359,874
339,146,390
491,439,82
751,574,178
980,125,207
573,394,518
886,77,601
75,467,115
430,267,743
488,301,427
418,986,446
489,203,895
844,864,427
249,469,473
229,371,697
786,813,601
507,800,991
750,137,964
854,107,20
583,741,857
552,237,74
505,563,314
745,102,952
308,816,925
171,578,774
940,642,557
454,63,195
39,49,72
427,192,872
127,812,265
656,477,851
110,870,604
438,557,303
754,300,319
657,712,887
875,999,94
855,414,267
216,924,779
627,793,456
72,770,608
619,437,39
170,689,239
739,854,794
303,355,275
336,347,871
150,644,596
482,25,567
594,155,661
995,152,236
156,227,677
944,786,570
25,216,600
212,837,975
181,368,549
795,869,729
67,516,694
472,834,117
961,346,831
52,205,932
618,646,519
90,275,530
428,277,102
842,967,921
401,980,835
511,6,608
546,230,478
963,347,804
58,507,273
398,68,135
541,612,272
172,946,357
806,909,109
999,469,675
421,443,391
754,342,92
997,85,647
631,215,711
259,640,711
151,9,309
400,249,331
408,975,679
189,530,937
126,468,438
628,225,563
128,47,818
229,74,239
888,249,629
98,742,132
844,789,747
392,830,393
838,273,836
560,711,556
360,92,960
738,524,931
2,176,955
79,397,633
251,398,96
752,932,73
532,817,785
384,802,923
920,82,838
747,818,900
519,746,118
676,62,769
335,309,168
904,136,789
347,709,437
317,234,757
376,716,823
267,48,745
688,92,910
987,133,5
546,628,166
280,41,940
285,987,159
562,384,631
727,332,191
527,110,650
114,113,943
302,717,132
24,161,431
795,781,864
180,264,692
82,962,51
339,905,76
570,748,685
852,809,996
120,501,354
314,882,145
620,243,220
516,344,144
85,87,191
661,632,86
864,77,819
625,491,459
384,996,942
993,633,294
798,464,946
709,10,25
271,252,938
213,941,718
944,869,213
16,560,727
290,735,612
931,231,259
886,196,870
625,109,116
830,637,520
573,757,289
375,276,800
118,227,118
211,86,70
227,320,124
162,435,230
299,162,868
278,25,753
492,104,499
233,166,498
494,356,460
337,914,331
658,255,654
618,718,240
796,48,669
753,833,108
331,212,871
239,142,473
498,936,540
932,239,613
255,853,309
762,596,295
8,394,628
372,558,538
737,415,259
651,194,483
551,238,245
781,240,663
892,202,743
860,789,368
174,517,157
959,785,129
303,369,384
74,504,92
804,666,279
40,275,728
644,590,895
780,736,939
75,957,506
863,273,415
740,643,776
437,30,749
789,122,330
288,738,808
354,789,229
378,327,447
868,577,366
185,374,306
975,424,142
474,351,109
492,933,635
870,709,122
811,413,317
361,985,62
338,788,769
986,437,54
583,233,72
462,969,264
264,2,792
769,435,451
404,691,679
478,503,459
171,294,855
438,118,290
584,574,281
66,976,943
232,355,694
703,316,786
907,905,838
97,817,379
697,981,124
744,551,359
728,502,840
534,715,288
24,813,540
580,495,883
168,646,538
744,506,961
504,373,100
985,528,371
428,825,861
299,889,838
766,88,737
158,670,870
65,540,834
72,226,642
99,96,676
413,729,192
245,99,191
581,850,924
929,162,375
55,597,590
34,15,721
777,991,76
460,74,815
742,605,199
753,901,134
828,551,45
762,449,481
979,644,505
323,460,822
859,958,641
690,581,457
933,946,256
47,50,38
180,225,703
750,235,124
584,495,667
57,571,798
392,797,687
358,950,875
596,857,600
142,37,119
631,885,82
750,876,252
124,452,452
802,145,569
644,998,46
935,590,43
148,773,971
421,516,838
32,578,347
372,95,922
96,88,975
839,840,454
189,473,617
131,182,904
834,554,571
410,904,406
497,527,792
820,843,973
156,767,148
149,156,27
726,45,150
666,237,35
819,767,654
723,723,176
366,514,822
863,926,56
414,49,206
308,221,172
118,593,156
230,866,813
409,264,831
359,465,994
312,13,425
348,109,209
290,719,162
492,725,297
520,272,913
199,774,812
208,896,433
832,408,916
192,14,492
969,79,756
736,290,970
981,833,569
576,753,380
697,196,57
483,730,138
373,724,377
473,966,292
674,564,191
729,989,309
522,943,909
683,225,263
412,191,48
386,39,74
847,479,473
926,458,415
467,793,285
43,248,182
779,626,216
416,936,629
692,918,583
504,347,307
582,931,700
27,63,654
652,294,222
890,585,889
140,945,782
770,606,413
216,922,476
758,985,288
679,20,534
529,940,827
852,661,828
561,747,803
901,310,906
928,756,82
566,382,160
957,977,511
524,475,744
735,853,497
545,638,369
985,790,399
570,158,419
179,559,404
859,396,253
971,504,167
643,798,977
135,84,910
188,140,436
768,325,939
928,858,69
518,363,935
551,447,160
963,880,673
274,612,947
77,365,322
516,370,831
178,597,861
634,915,105
189,316,325
801,45,863
16,857,578
901,734,111
625,947,507
237,15,898
638,287,813
282,86,521
982,639,481
917,270,223
730,304,843
3,993,156
190,669,138
313,474,615
839,490,214
591,552,37
493,542,31
453,820,994
950,368,293
318,851,537
827,147,79
228,542,458
616,797,594
699,192,580
210,755,827
633,781,87
820,878,450
562,288,597
809,70,930
887,167,377
379,887,369
303,983,449
887,415,240
523,805,311
789,545,180
926,859,82
242,21,559
209,741,936
385,833,277
646,425,627
974,618,46
141,957,293
473,747,837
43,585,191
535,320,583
185,334,173
708,702,225
768,862,874
138,370,657
416,614,635
905,469,537
686,496,340
110,539,532
720,855,278
733,563,182
176,614,683
924,481,62
152,355,177
436,482,582
640,902,188
829,370,145
803,141,60
842,276,561
365,436,885
565,968,679
426,351,182
14,531,427
367,58,737
958,748,505
693,923,617
726,916,395
475,583,697
437,838,609
465,478,399
12,776,599
669,941,910
972,783,567
973,819,774
440,73,577
53,244,15
409,300,987
927,131,975
297,296,736
430,418,344
318,187,245
701,933,160
925,438,271
889,420,933
990,568,274
356,921,12
558,788,87
860,103,217
860,596,863
202,308,865
251,459,348
184,580,173
87,426,984
732,871,807
700,245,180
972,286,941
357,814,417
782,261,702
695,315,682
291,123,262
351,970,984
852,491,820
235,364,741
561,81,520
365,908,419
252,532,479
392,616,940
654,605,432
304,666,283
144,423,795
629,633,777
711,406,820
859,204,414
827,644,643
240,864,975
756,290,974
775,103,782
821,335,85
550,820,893
87,593,359
207,30,480
417,89,146
26,446,430
925,585,583
828,257,741
303,119,623
446,246,646
146,55,595
352,332,884
643,214,83
77,70,112
208,132,935
672,26,326
954,660,161
475,122,499
682,566,40
660,657,28
501,756,545
582,44,962
727,213,982
215,223,121
829,152,295
489,489,806
12,351,811
235,431,915
502,194,618
95,222,879
269,395,122
639,886,450
486,986,831
593,184,608
325,714,197
307,539,684
156,343,387
387,159,843
100,103,865
590,285,49
473,785,814
31,74,729
157,865,771
175,928,593
73,441,143
224,577,304
593,531,832
130,930,630
280,139,182
389,697,215
312,494,878
434,458,117
646,724,954
684,316,579
21,296,626
921,147,799
92,127,699
161,542,302
900,640,272
609,276,637
161,445,68
631,529,160
529,44,309
268,669,174
937,841,190
716,614,963
882,300,130
176,993,284
916,3,78
236,463,585
71,857,218
986,15,365
802,809,563
205,761,525
608,534,180
85,176,50
112,550,171
612,80,328
912,404,87
736,605,453
662,913,752
650,118,748
134,154,127
75,338,585
608,555,337
427,833,471
625,531,644
737,546,279
109,488,724
858,267,355
451,94,642
363,753,588
22,702,898
940,901,527
143,934,901
815,900,876
434,47,764
460,464,885
291,640,640
377,393,374
794,548,976
260,670,112
642,110,572
176,612,687
15,20,562
836,686,438
139,479,883
471,839,728
375,956,809
530,342,427
26,774,430
245,294,632
164,459,560
889,996,576
794,555,174
920,329,8
648,23,488
64,260,470
699,228,624
811,947,345
128,597,922
374,864,813
